5	O, 14.285714285714285%
4	E, 11.428571428571429%
4	I, 11.428571428571429%
3	H, 8.571428571428571%
3	L, 8.571428571428571%
3	T, 8.571428571428571%
2	S, 5.714285714285714%
2	Y, 5.714285714285714%
1	A, 2.857142857142857%
1	C, 2.857142857142857%
1	D, 2.857142857142857%
1	M, 2.857142857142857%
1	N, 2.857142857142857%
1	R, 2.857142857142857%
1	U, 2.857142857142857%
1	W, 2.857142857142857%
1	Z, 2.857142857142857%
A, 01100
C, 01101
D, 01111
E, 010
H, 1111
I, 001
L, 1101
M, 11000
N, 11001
O, 101
R, 0000
S, 1000
T, 1110
U, 01110
W, 10010
Y, 0001
Z, 10011
135
